#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
2655828	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Li W (2007)	PUBMED:17631932	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2655830	100772552	1489668	1636295	4383915	-	SARS-CoV-2	Ace2	S	-	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Guillon P (2008)	PUBMED:18818423	10029	694009	Low Throughput	-	-	-	-	BIOGRID	-	A0A061HZ66		P59594	-	NP_828851	-	-	-	-	-	-	Cricetulus griseus	Severe acute respiratory syndrome-related coronavirus
2656269	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Li F (2006)	PUBMED:16809285	694009	9606	Low Throughput	-	-	Soluble ACE2 binds both monomers and trimers of S-e	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2656270	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Li F (2006)	PUBMED:16809285	694009	694009	Low Throughput	-	-	forms trimers in vitro	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2656272	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	He Y (2004)	PUBMED:15474494	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2656273	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Hofmann H (2006)	PUBMED:16912312	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2656303	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Tai W (2020)	PUBMED:32203189	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
2658249	59272	1489668	121864	4383915	UNQ868/PRO1885	SARS-CoV-2	ACE2	S	ACEH	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Sun C (2020)	DOI:10.1101/2020.02.16.951723	9606	694009	Low Throughput	-	-	The Receptor Binding Domain (RBD) of the SARS-CoV Spike protein interacts with human ACE2 in vitro.	-	BIOGRID	Q9BYF1	-	NP_068576	P59594	-	NP_828851	-	-	-	-	-	-	Homo sapiens	Severe acute respiratory syndrome-related coronavirus
2659034	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	Reconstituted Complex	physical	Liu S (2004)	PUBMED:15043961	694009	694009	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
2659373	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA|PRO_0000037208	ACEH	Reconstituted Complex	physical	Zhao J (2007)	PUBMED:17055551	694009	9606	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-	Severe acute respiratory syndrome-related coronavirus	Homo sapiens
