entrez_id,gene_symbol,gene_name,organism,chromosome,map_location,summary,other_designations,chr_accession,chr_start,chr_stop,node_id
60,ACTB,actin beta,Homo sapiens,7,7p22.1,"This gene encodes one of six different actin proteins. Actins are highly conserved proteins that are involved in cell motility, structure, integrity, and intercellular signaling. The encoded protein is a major constituent of the contractile apparatus and one of the two nonmuscle cytoskeletal actins that are ubiquitously expressed. Mutations in this gene cause Baraitser-Winter syndrome 1, which is characterized by intellectual disability with a distinctive facial appearance in human patients. Numerous pseudogenes of this gene have been identified throughout the human genome. [provided by RefSeq, Aug 2017]","actin, cytoplasmic 1|I(2)-actin|PS1TP5-binding protein 1|beta cytoskeletal actin",NC_000007.14,5530600,5527147,106575
71,ACTG1,actin gamma 1,Homo sapiens,17,17q25.3,"Actins are highly conserved proteins that are involved in various types of cell motility and in maintenance of the cytoskeleton. Three main groups of actin isoforms have been identified in vertebrate animals: alpha, beta, and gamma. The alpha actins are found in muscle tissues and are a major constituent of the contractile apparatus. The beta and gamma actins co-exist in most cell types as components of the cytoskeleton and as mediators of internal cell motility. Actin gamma 1, encoded by this gene, is a cytoplasmic actin found in all cell types. Mutations in this gene are associated with DFNA20/26, a subtype of autosomal dominant non-syndromic sensorineural progressive hearing loss and also with Baraitser-Winter syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2017]","actin, cytoplasmic 2|cytoskeletal gamma-actin|epididymis luminal protein 176",NC_000017.11,81512798,81509970,106586
158,ADSL,adenylosuccinate lyase,Homo sapiens,22,22q13.1,"The protein encoded by this gene belongs to the lyase 1 family. It is an essential enzyme involved in purine metabolism, and catalyzes two non-sequential reactions in the de novo purine biosynthetic pathway: the conversion of succinylaminoimidazole carboxamide ribotide (SAICAR) to aminoimidazole carboxamide ribotide (AICAR) and the conversion of adenylosuccinate (S-AMP) to adenosine monophosphate (AMP). Mutations in this gene are associated with adenylosuccinase deficiency (ADSLD), a disorder marked with psychomotor retardation, epilepsy or autistic features. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2015]",adenylosuccinate lyase|adenylosuccinase,NC_000022.11,40346499,40387526,106667
214,ALCAM,activated leukocyte cell adhesion molecule,Homo sapiens,3,3q13.11,"This gene encodes activated leukocyte cell adhesion molecule (ALCAM), also known as CD166 (cluster of differentiation 166), which is a member of a subfamily of immunoglobulin receptors with five immunoglobulin-like domains (VVC2C2C2) in the extracellular domain. This protein binds to T-cell differentiation antigene CD6, and is implicated in the processes of cell adhesion and migration. Multiple alternatively spliced transcript variants encoding different isoforms have been found. [provided by RefSeq, Aug 2011]",CD166 antigen,NC_000003.12,105366908,105576899,106716
271,AMPD2,adenosine monophosphate deaminase 2,Homo sapiens,1,1p13.3,"The protein encoded by this gene is important in purine metabolism by converting AMP to IMP. The encoded protein, which acts as a homotetramer, is one of three AMP deaminases found in mammals. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2012]",AMP deaminase 2|adenosine monophosphate deaminase 2 (isoform L),NC_000001.11,109619836,109632054,106768
335,APOA1,apolipoprotein A1,Homo sapiens,11,11q23.3,"This gene encodes apolipoprotein A-I, which is the major protein component of high density lipoprotein (HDL) in plasma. The encoded preproprotein is proteolytically processed to generate the mature protein, which promotes cholesterol efflux from tissues to the liver for excretion, and is a cofactor for lecithin cholesterolacyltransferase (LCAT), an enzyme responsible for the formation of most plasma cholesteryl esters. This gene is closely linked with two other apolipoprotein genes on chromosome 11. Defects in this gene are associated with HDL deficiencies, including Tangier disease, and with systemic non-neuropathic amyloidosis. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein. [provided by RefSeq, Dec 2015]",apolipoprotein A-I|apo-AI|epididymis secretory sperm binding protein,NC_000011.10,116837621,116835750,106832
344,APOC2,apolipoprotein C2,Homo sapiens,19,19q13.32,"This gene encodes a lipid-binding protein belonging to the apolipoprotein gene family. The protein is secreted in plasma where it is a component of very low density lipoprotein. This protein activates the enzyme lipoprotein lipase, which hydrolyzes triglycerides and thus provides free fatty acids for cells. Mutations in this gene cause hyperlipoproteinemia type IB, characterized by hypertriglyceridemia, xanthomas, and increased risk of pancreatitis and early atherosclerosis. This gene is present in a cluster with other related apolipoprotein genes on chromosome 19. Naturally occurring read-through transcription exists between this gene and the neighboring upstream apolipoprotein C-IV (APOC4) gene. [provided by RefSeq, Mar 2011]",apolipoprotein C-II,NC_000019.10,44946050,44949564,106841
387,RHOA,ras homolog family member A,Homo sapiens,3,3p21.31,"This gene encodes a member of the Rho family of small GTPases, which cycle between inactive GDP-bound and active GTP-bound states and function as molecular switches in signal transduction cascades. Rho proteins promote reorganization of the actin cytoskeleton and regulate cell shape, attachment, and motility. Overexpression of this gene is associated with tumor cell proliferation and metastasis. Multiple alternatively spliced variants have been identified. [provided by RefSeq, Sep 2015]",transforming protein RhoA|Aplysia ras-related homolog 12|epididymis secretory sperm binding protein|oncogene RHO H12|small GTP binding protein RhoA,NC_000003.12,49411975,49359144,106880
388,RHOB,ras homolog family member B,Homo sapiens,2,2p24.1,"Predicted to enable GTP binding activity and GTPase activity. Involved in several processes, including cellular response to hydrogen peroxide; cellular response to ionizing radiation; and regulation of cell migration. Located in cleavage furrow and endosome membrane. Biomarker of breast cancer. [provided by Alliance of Genome Resources, Jul 2025]","rho-related GTP-binding protein RhoB|Aplysia RAS-related homolog 6|h6|oncogene RHO H6|ras homolog gene family, member B|rho cDNA clone 6",NC_000002.12,20447073,20449439,106881
391,RHOG,ras homolog family member G,Homo sapiens,11,11p15.4,"This gene encodes a member of the Rho family of small GTPases, which cycle between inactive GDP-bound and active GTP-bound states and function as molecular switches in signal transduction cascades. Rho proteins promote reorganization of the actin cytoskeleton and regulate cell shape, attachment, and motility. The encoded protein facilitates translocation of a functional guanine nucleotide exchange factor (GEF) complex from the cytoplasm to the plasma membrane where ras-related C3 botulinum toxin substrate 1 is activated to promote lamellipodium formation and cell migration. Two related pseudogene have been identified on chromosomes 20 and X. [provided by RefSeq, Aug 2011]","rho-related GTP-binding protein RhoG|ras homolog gene family, member G (rho G)",NC_000011.10,3840958,3826977,106884
432,ASGR1,asialoglycoprotein receptor 1,Homo sapiens,17,17p13.1,"This gene encodes a subunit of the asialoglycoprotein receptor. This receptor is a transmembrane protein that plays a critical role in serum glycoprotein homeostasis by mediating the endocytosis and lysosomal degradation of glycoproteins with exposed terminal galactose or N-acetylgalactosamine residues. The asialoglycoprotein receptor may facilitate hepatic infection by multiple viruses including hepatitis B, and is also a target for liver-specific drug delivery. The asialoglycoprotein receptor is a hetero-oligomeric protein composed of major and minor subunits, which are encoded by different genes. The protein encoded by this gene is the more abundant major subunit. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jan 2011]",asialoglycoprotein receptor 1|C-type lectin domain family 4 member H1|hepatic lectin H1,NC_000017.11,7179369,7173430,106924
682,BSG,basigin (Ok blood group),Homo sapiens,19,19p13.3,"The protein encoded by this gene, basigin, is a plasma membrane protein that is important in spermatogenesis, embryo implantation, neural network formation, and tumor progression. Basigin is also a member of the immunoglobulin superfamily, ubiquitously expressed in various tissues. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2020]",basigin|OK blood group antigen|collagenase stimulatory factor|extracellular matrix metalloproteinase inducer|hepatoma-associated antigen|leukocyte activation antigen M6|tumor cell-derived collagenase stimulatory factor,NC_000019.10,571282,583492,107147
